x,numerical,exact,error
0,1,1,0
0.01,1.00896,1.00895,4.52619e-06
0.02,1.01751,1.0175,9.05058e-06
0.03,1.02566,1.02564,1.35713e-05
0.04,1.03339,1.03338,1.80867e-05
0.05,1.04072,1.04069,2.25948e-05
0.06,1.04762,1.0476,2.70938e-05
0.07,1.05411,1.05408,3.15821e-05
0.08,1.06018,1.06014,3.60577e-05
0.09,1.06582,1.06578,4.05188e-05
0.1,1.07103,1.07099,4.49638e-05
0.11,1.07582,1.07577,4.93908e-05
0.12,1.08018,1.08012,5.3798e-05
0.13,1.0841,1.08404,5.81837e-05
0.14,1.08759,1.08753,6.25461e-05
0.15,1.09065,1.09058,6.68835e-05
0.16,1.09327,1.0932,7.11942e-05
0.17,1.09545,1.09538,7.54763e-05
0.18,1.0972,1.09712,7.97283e-05
0.19,1.0985,1.09842,8.39484e-05
0.2,1.09937,1.09928,8.81349e-05
0.21,1.0998,1.0997,9.22862e-05
0.22,1.09978,1.09969,9.64006e-05
0.23,1.09933,1.09923,0.000100476
0.24,1.09844,1.09833,0.000104512
0.25,1.0971,1.097,0.000108506
0.26,1.09533,1.09522,0.000112456
0.27,1.09312,1.09301,0.000116362
0.28,1.09048,1.09036,0.00012022
0.29,1.08739,1.08727,0.000124031
0.3,1.08388,1.08375,0.000127792
0.31,1.07993,1.07979,0.000131502
0.32,1.07554,1.07541,0.00013516
0.33,1.07073,1.07059,0.000138763
0.34,1.06549,1.06534,0.000142311
0.35,1.05982,1.05967,0.000145802
0.36,1.05373,1.05358,0.000149235
0.37,1.04721,1.04706,0.000152608
0.38,1.04028,1.04013,0.00015592
0.39,1.03293,1.03277,0.000159169
0.4,1.02517,1.02501,0.000162355
0.41,1.017,1.01684,0.000165476
0.42,1.00842,1.00825,0.000168531
0.43,0.999441,0.99927,0.000171518
0.44,0.99006,0.989886,0.000174437
0.45,0.980283,0.980105,0.000177286
0.46,0.970113,0.969933,0.000180064
0.47,0.959556,0.959373,0.00018277
0.48,0.948615,0.948429,0.000185403
0.49,0.937294,0.937106,0.000187962
0.5,0.925598,0.925408,0.000190445
0.51,0.913532,0.91334,0.000192853
0.52,0.901101,0.900906,0.000195183
0.53,0.88831,0.888112,0.000197435
0.54,0.875163,0.874963,0.000199608
0.55,0.861666,0.861464,0.000201702
0.56,0.847824,0.84762,0.000203714
0.57,0.833643,0.833437,0.000205646
0.58,0.819129,0.818921,0.000207494
0.59,0.804287,0.804078,0.00020926
0.6,0.789123,0.788912,0.000210943
0.61,0.773644,0.773432,0.000212541
0.62,0.757856,0.757641,0.000214053
0.63,0.741764,0.741548,0.000215481
0.64,0.725375,0.725158,0.000216822
0.65,0.708697,0.708479,0.000218076
0.66,0.691734,0.691515,0.000219243
0.67,0.674496,0.674275,0.000220323
0.68,0.656987,0.656766,0.000221314
0.69,0.639216,0.638994,0.000222217
0.7,0.621189,0.620966,0.000223031
0.71,0.602913,0.602689,0.000223755
0.72,0.584397,0.584172,0.00022439
0.73,0.565646,0.565421,0.000224936
0.74,0.546669,0.546444,0.000225391
0.75,0.527474,0.527248,0.000225757
0.76,0.508068,0.507842,0.000226032
0.77,0.488458,0.488232,0.000226216
0.78,0.468653,0.468427,0.00022631
0.79,0.448661,0.448435,0.000226314
0.8,0.428489,0.428263,0.000226227
0.81,0.408146,0.40792,0.00022605
0.82,0.387639,0.387414,0.000225782
0.83,0.366978,0.366752,0.000225424
0.84,0.34617,0.345945,0.000224975
0.85,0.325223,0.324998,0.000224437
0.86,0.304146,0.303922,0.000223809
0.87,0.282947,0.282724,0.000223091
0.88,0.261636,0.261414,0.000222284
0.89,0.240219,0.239998,0.000221389
0.9,0.218707,0.218487,0.000220404
0.91,0.197107,0.196888,0.000219332
0.92,0.175428,0.17521,0.000218172
0.93,0.153679,0.153463,0.000216924
0.94,0.131869,0.131654,0.00021559
0.95,0.110006,0.109792,0.00021417
0.96,0.0880989,0.0878862,0.000212663
0.97,0.0661565,0.0659454,0.000211072
0.98,0.0441877,0.0439783,0.000209397
0.99,0.0222012,0.0219935,0.000207637
1,0,0,0
