x,numerical,exact,error
0,1,1,0
0.005,1.00453,1.00453,5.59602e-07
0.01,1.00895,1.00895,1.11915e-06
0.015,1.01328,1.01328,1.67858e-06
0.02,1.0175,1.0175,2.23785e-06
0.025,1.02163,1.02162,2.79689e-06
0.03,1.02565,1.02564,3.35566e-06
0.035,1.02956,1.02956,3.91408e-06
0.04,1.03338,1.03338,4.47212e-06
0.045,1.03709,1.03709,5.02971e-06
0.05,1.0407,1.04069,5.58679e-06
0.055,1.0442,1.0442,6.14332e-06
0.06,1.0476,1.0476,6.69923e-06
0.065,1.0509,1.05089,7.25448e-06
0.07,1.05409,1.05408,7.80899e-06
0.075,1.05717,1.05716,8.36273e-06
0.08,1.06015,1.06014,8.91563e-06
0.085,1.06302,1.06301,9.46764e-06
0.09,1.06579,1.06578,1.00187e-05
0.095,1.06845,1.06844,1.05688e-05
0.1,1.071,1.07099,1.11178e-05
0.105,1.07345,1.07343,1.16657e-05
0.11,1.07578,1.07577,1.22124e-05
0.115,1.07801,1.078,1.27579e-05
0.12,1.08014,1.08012,1.33021e-05
0.125,1.08215,1.08214,1.3845e-05
0.13,1.08406,1.08404,1.43865e-05
0.135,1.08586,1.08584,1.49266e-05
0.14,1.08755,1.08753,1.54652e-05
0.145,1.08913,1.08911,1.60022e-05
0.15,1.0906,1.09058,1.65377e-05
0.155,1.09196,1.09195,1.70714e-05
0.16,1.09322,1.0932,1.76035e-05
0.165,1.09436,1.09434,1.81338e-05
0.17,1.0954,1.09538,1.86623e-05
0.175,1.09632,1.0963,1.9189e-05
0.18,1.09714,1.09712,1.97137e-05
0.185,1.09784,1.09782,2.02364e-05
0.19,1.09844,1.09842,2.07571e-05
0.195,1.09893,1.09891,2.12758e-05
0.2,1.0993,1.09928,2.17923e-05
0.205,1.09957,1.09955,2.23066e-05
0.21,1.09973,1.0997,2.28187e-05
0.215,1.09977,1.09975,2.33286e-05
0.22,1.09971,1.09969,2.38361e-05
0.225,1.09954,1.09951,2.43412e-05
0.23,1.09925,1.09923,2.48438e-05
0.235,1.09886,1.09884,2.5344e-05
0.24,1.09836,1.09833,2.58417e-05
0.245,1.09774,1.09772,2.63368e-05
0.25,1.09702,1.097,2.68292e-05
0.255,1.09619,1.09616,2.7319e-05
0.26,1.09525,1.09522,2.7806e-05
0.265,1.0942,1.09417,2.82902e-05
0.27,1.09304,1.09301,2.87716e-05
0.275,1.09177,1.09174,2.92502e-05
0.28,1.09039,1.09036,2.97258e-05
0.285,1.0889,1.08887,3.01984e-05
0.29,1.0873,1.08727,3.0668e-05
0.295,1.08559,1.08556,3.11346e-05
